ESPACIO,Latitud,Longitud,OBJECTID,cod_georef,edif,escuela_departamento,nombre_lab,piso,sede
1011,-76.532067907,3.376413541,90,340,340,,laboratorio de combustion combustible,1,
1004,-76.531900089,3.376470918,91,340,340,,laboratorio de combustion combustible,1,
1017,-76.532158327,3.376548756,92,340,340,,Laboratorio  de transferencia de calor,1,
1022,-76.53206604,3.376543128,93,340,340,,Laboratorio de refrigeracion y climatizacion,1,
2009,-76.532114152,3.376879623,94,338,338,,Laboratorio de propiedades fisicas y fenomenos de transferencia de alimentos,2,
2014,-76.532114116,3.376943942,95,338,338,,Laboratorio de analisis quimico de los alimentos,2,
1001,-76.532005835,3.376865006,96,338,338,,Laboratorio de fenomenos de transporte,1,
2017,-76.532069651,3.376413542,97,340,340,,laboratorio de transferencia de calor y y refrigeracion,2,
2018,-76.532149816,3.376413579,98,340,340,,laboratorio de mecanica de fluidos,2,
2019,-76.532203254,3.376414217,99,340,340,,laboratorio de mecatronica,2,
1007,-76.530187462,3.372455724,100,360,360,,Laboratorio de aguas y suelos agricolas,1,
1000,-76.530200133,3.372377618,101,360,360,,Laboratorio de mecanica de fluidos e hidraulica,1,
2007,-76.533144201,3.374378075,102,354,354,,Laboratorio  robotica movil,2,
2007,-76.53312272,3.374378066,103,354,354,,Laboratorio inteligencia computacional,2,
2006,-76.53310032,3.374378053,104,354,354,,Laboratorio de procesamiento digital de señales,2,
2010,-76.533131648,3.374514609,105,354,354,,Laboratorio de diseño de circuitos integrados y sistemas electronicos,2,
1001,-76.533026038,3.374386734,106,354,354,,Laboratorio de percepcion y sistemas inteligentes,1,
2002,-76.532859443,3.374743648,107,355,355,,Laboratorio de redes de comunicacion,2,
0,-76.532675407,3.374468825,108,356,356,,Laboratorio de alta tension,1,
1002,-76.532083694,3.374284261,109,350,350,,Laboratorio de geologia y mecanica de rocas,1,
1021,-76.533008661,3.374121522,110,353,353,,Laboratorio de acionamientos y electronica de potencia,1,
1013,-76.532691738,3.374204652,111,353,353,,Laboratorio de pequeñas centrales,1,
1002,-76.53298557,3.37421942,112,353,353,,Laboratorio de conversion de energia CONVERGIA,1,
